v8-version,6,1,534,50,0
code-creation,Builtin,5,5519,0x1571156534e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,5524,0x157115653580,134,"FunctionConstructor"
code-creation,Builtin,5,5530,0x157115653620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,5535,0x1571156536c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,5541,0x157115653c40,177,"CallVarargs"
code-creation,Builtin,5,5546,0x157115653d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,5551,0x1571156540e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,5557,0x157115654180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,5562,0x157115654220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,5568,0x1571156542c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,5573,0x157115654440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,5578,0x1571156544e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,5584,0x157115654980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,5589,0x157115654e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,5595,0x157115654f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,5600,0x157115655020,116,"ArrayCode"
code-creation,Builtin,5,5606,0x1571156550a0,203,"ArrayIsArray"
code-creation,Builtin,5,5611,0x157115655180,134,"ArrayConcat"
code-creation,Builtin,5,5617,0x157115655220,763,"FastArrayPop"
code-creation,Builtin,5,5622,0x157115655520,134,"ArrayPop"
code-creation,Builtin,5,5627,0x1571156555c0,2660,"FastArrayPush"
code-creation,Builtin,5,5633,0x157115656040,134,"ArrayPush"
code-creation,Builtin,5,5638,0x1571156560e0,1176,"FastArrayShift"
code-creation,Builtin,5,5644,0x157115656580,134,"ArrayShift"
code-creation,Builtin,5,5649,0x157115656620,134,"ArrayUnshift"
code-creation,Builtin,5,5654,0x1571156566c0,134,"ArraySlice"
code-creation,Builtin,5,5660,0x157115656760,134,"ArraySplice"
code-creation,Builtin,5,5665,0x157115656800,1556,"ArrayIncludes"
code-creation,Builtin,5,5671,0x157115656e20,1292,"ArrayIndexOf"
code-creation,Builtin,5,5676,0x157115657340,502,"ArrayPrototypeKeys"
code-creation,Builtin,5,5681,0x157115657540,646,"ArrayPrototypeEntries"
code-creation,Builtin,5,5687,0x1571156577e0,646,"ArrayPrototypeValues"
code-creation,Builtin,5,5692,0x157115657a80,1685,"ArrayForEach"
code-creation,Builtin,5,5698,0x157115658120,666,"ToLength"
code-creation,Builtin,5,5703,0x1571156583c0,365,"NonNumberToNumber"
code-creation,Builtin,5,5709,0x157115658540,298,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,5714,0x157115658680,2832,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,5719,0x1571156591a0,6170,"ArrayFilter"
code-creation,Builtin,5,5725,0x15711565a9c0,4860,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,5743,0x15711565bcc0,168,"Construct"
code-creation,Builtin,5,5749,0x15711565bd80,114,"ConstructFunction"
code-creation,Builtin,5,5754,0x15711565be00,249,"ConstructBoundFunction"
code-creation,Builtin,5,5760,0x15711565bf00,121,"ConstructProxy"
code-creation,Builtin,5,5765,0x15711565bf80,2972,"ArrayMap"
